NoUrut,IdData,Data,Data Inggris,Label,HasilSegmen,DataAsliOptimal,DataAsliGreedy,DataEditOptimal,DataEditGreedy
1947,130,Dengan demikian kami menyarankan Anda memeriksakan kondisi Anda pada dokter kandungan untuk mendapatkan penjelasan yang lebih baik,Thus we recommend that you check your condition with your obstetrician to get a better explanation,F5,2,7,7,2,2
1948,130,Berikut kami lampirkan artikel mengenai tanda kehamilan,Here we attach an article about signs of pregnancy,F5,2,7,7,2,2
1949,130,Semoga bermanfaat,May be useful,F1,3,2,2,3,3
1950,130,dr N K Arief,dr N K Arief,F1,3,2,2,3,3
1951,131,Halo Nanda,Hello Nanda,F1,0,1,1,0,0
1952,131,"Siklus haid normal adalah 21 hingga 35 hari, dan berlangsung selama 2 hingga 7 hari","A normal menstrual cycle is 21 to 35 days, and lasts 2 to 7 days",F3,1,1,1,1,1
1953,131,"Berbagai kondisi atau penyakit dapat menyebabkan haid terlambat, misalnya: Perubahan berat badan","Various conditions or diseases can cause missed periods, for example: Changes in body weight",F3,2,2,7,2,2
1954,131,Berat badan berlebih atau obesitas maupun berat badan yang sangat kurang dapat mempengaruhi siklus haid,Being overweight or obese or being underweight can affect the menstrual cycle,F3,2,2,7,2,2
1955,131,"Sindrom ovarium polikistik (polycystic ovary syndrome, PCOS)",Polycystic ovary syndrome (PCOS),F3,3,1,7,3,2
1956,131,"Pada kondisi ini terjadi gangguan pematangan sel telur, sehingga siklus haid dapat terganggu","In this condition, there is a disruption of egg maturation, so the menstrual cycle can be disrupted",F3,4,7,7,4,2
1957,131,Penyakit pada kelenjar tiroid,Diseases of the thyroid gland,F3,4,7,7,4,2
1958,131,Stres,Stress,F3,4,7,7,4,2
1959,131,Stres dapat mempengaruhi bagian otak yang mengatur siklus haid,Stress can affect the part of the brain that regulates the menstrual cycle,F3,4,7,7,4,2
1960,131,"Menderita penyakit kronis, misalnya diabetes","Suffering from a chronic disease, such as diabetes",F3,4,7,1,4,3
1961,131,"(Baca dalam artikel: Penyebab menstruasi tidak lancar, Menstruasi terlambat)","(Read in the article: Causes of irregular menstruation, Late menstruation)",F5,4,7,2,4,4
1962,131,"Untuk mengetahui penyebab dari haid yang terlambat (atau tidak teratur), sebaiknya Anda mengkonsultasikan kembali dengan dokter spesialis kebidanan dan kandungan terdekat","To find out the cause of late (or irregular) menstruation, you should consult again with the nearest obstetrics and gynecologist",F5,4,7,2,4,4
1963,131,"Karena diperlukan pemeriksaan lebih lanjut untuk menentukan penyebabnya, misalnya dengan pemeriksaan darah (memeriksa hormon), atau USG","Because further tests are needed to determine the cause, for example by blood tests (checking hormones), or ultrasound",F5,5,2,2,5,4
1964,131,"Semoga membantu, dr Vidya","Hope it helps, Dr Vidya",F1,5,2,2,5,4
1965,132,Dear Asyiffa,Dear Asyiffa,F1,0,3,3,0,0
1966,132,terima kasih atas pertanyaannya,thank you for the question,F1,0,3,3,0,0
1967,132,"Keluhan berupa dada terasa dingin, batuk beberapa bulan, mual, tenggorokan tidak nyaman dapat disebabkan oleh beberapa hal, dapat dikarenakan gangguan pada sistem pernafasan, atau pada sistem pencernaan Kamu, antara lain: Radang tenggorokan","Complaints in the form of feeling cold in the chest, coughing for several months, nausea, uncomfortable throat can be caused by several things, it can be due to disorders of the respiratory system, or to your digestive system, including: Strep throat",F3,0,3,3,0,0
1968,132,Radang Amandel,Tonsillitis,F3,1,5,5,1,1
1969,132,Tuberkulosis,Tuberculosis,F3,1,5,5,1,1
1970,132,Pneumonia,Pneumonia,F3,1,5,5,1,1
1971,132,Penyakit Asam Lambung / GERD,Stomach Acid Disease / GERD,F3,1,5,5,1,1
1972,132,"Tukak Lambung, dan lain sebagainya","Stomach Ulcers, and so on",F3,1,5,5,1,1
1973,132,"Untuk menelusuri penyebab keluhan, sebaiknya Kamu diperiksa langsung oleh Dokter sehingga dapat diberi penanganan yang sesuai","To trace the cause of the complaint, you should be examined directly by a doctor so that the appropriate treatment can be given",F5,2,2,2,2,2
1974,132,Hal yang dapat dilakukan untuk mengurangi keluhan: Berkumur dengan air garam 2 x sehari,Things you can do to reduce complaints: Gargle with salt water 2 times a day,F5,2,2,2,2,2
1975,132,"Kosumsi makanan sehat secara teratur, makanlah lebih sering dengan porsi kecil","Eat healthy food regularly, eat more often with small portions",F5,3,3,3,3,3
1976,132,Perbanyak asupan buah dan sayur,Increase your intake of fruits and vegetables,F5,3,3,3,3,3
1977,132,"Cukupi asupan cairan, minum 8 - 10 gelas per hari","Adequate fluid intake, drink 8 - 10 glasses per day",F5,3,3,3,3,3
1978,132,"Istirahat yang cukup, tidur 8 jam sehari","Adequate rest, sleep 8 hours a day",F5,4,3,3,4,4
1979,132,olahraga teratur,regular exercise,F5,4,3,3,4,4
1980,132,Konsumsi madu yang dicampur dengan lemon,Consumption of honey mixed with lemon,F5,4,3,3,4,4
1981,132,"Kelola stres psikis: meditasi, yoga","Manage psychic stress: meditation, yoga",F5,5,3,3,5,5
1982,132,Demikian semoga lekas membaik ya,So hopefully it gets better soon,F1,5,3,3,5,5
1983,132,dr Annes,dr Annes,F1,5,3,3,5,5
1984,133,Halo Retna!,Hello Retna!,F1,0,1,1,0,0
1985,133,Terima kasih telah menggunakan layanan konsultasi Alodokter,Thank you for using the Alodokter consultation service,F1,1,10,10,1,1
1986,133,"Acetylcysteine merupakan obat golongan mukolitik yang berfungsi untuk mengencerkan dahak, dan oleh sebab itu umumnya diberikan pada pasien dengan batuk berdahak, seperti pada penyakit bronkitis, emfisema, asma bronkial, atau bronkiektasis","Acetylcysteine ​​is a mucolytic drug that functions to thin phlegm, and is therefore generally given to patients with cough with phlegm, such as bronchitis, emphysema, bronchial asthma, or bronchiectasis",F3,1,10,10,1,1
1987,133,"Selain itu, walaupun jarang, obat ini dapat digunakan pada pasien - pasien dengan overdosis paracetamol, penyakit ginjal, penyakit paru obstruktif, serta beberapa penyakit psikiatri","In addition, although rarely, this drug can be used in patients with paracetamol overdose, kidney disease, obstructive pulmonary disease, as well as some psychiatric diseases",F3,1,10,10,1,1
1988,133,"Jangan ragu untuk berdiskusi dengan dokter yang menangani anda mengenai obat - obat yang diberikan dan fungsinya pada kondisi atau penyakit anda, karena untuk mendapat informasi tersebut merupakan hak anda sebagai pasien, dan bisa saja obat tersebut diberikan untuk fungsinya yang lain selain pengencer dahak","Do not hesitate to discuss with the doctor who treats you about the drugs given and their function in your condition or disease, because to get that information is your right as a patient, and the drug may be given for other functions other than thinning phlegm",F3,1,10,10,1,1
1989,133,"Gejala alergi dan efek samping yang dapat timbul akibat obat ini adalah gangguan saluran cerna seperti mual muntah, gatal, kulit kemerahan, bengkak, mengantuk, sesak napas, jantung berdebar - debar, gangguan fungsi hati, dan lain – lain","Allergy symptoms and side effects that can occur due to this drug are gastrointestinal disorders such as nausea, vomiting, itching, skin redness, swelling, drowsiness, shortness of breath, heart palpitations, impaired liver function, and others",F6,1,10,10,1,1
1990,133,"Jika anda mengalami gejala - gejala tersebut, kemungkinan anda tidak cocok dengan obat tersebut, sehingga anda dapat menghentikan penggunaan obat dan kembali berkonsultasi ke dokter yang memberikan agar diberikan terapi lain yang lebih sesuai dengan kondisi anda","If you experience these symptoms, it is likely that you are not suitable for the drug, so you can stop using the drug and go back to the doctor who gave you another therapy that is more suitable for your condition",F4,1,10,10,1,1
1991,133,"Selain itu, sebelum mengonsumsi obat, untuk memastikan penggunaan obat sudah benar, jangan lupa untuk selalu memeriksa: Nama obat pada kemasan, beberapa obat memiliki nama dan bentuk yang serupa","In addition, before taking the drug, to ensure that the drug is used correctly, don't forget to always check: The name of the drug on the packaging, some drugs have the same name and form",F5,1,10,10,1,1
1992,133,Nama pasien pada resep obat sudah sesuai dengan nama anda,The patient's name on the drug prescription is in accordance with your name,F5,1,10,10,1,1
1993,133,"Dosis dan aturan pakai obat, sesuaikan dengan petunjuk dokter","Dosage and the rules for using the drug, according to the doctor's instructions",F5,1,10,10,1,1
1994,133,"Tanggal kadaluarsa obat, yang tercantum pada kemasan Indikasi, kontraindikasi, efek samping yang tercantum pada brosur obat","The expiration date of the drug, which is listed on the packaging Indications, contraindications, side effects listed on the drug brochure",F5,1,10,10,1,1
1995,133,"Demikian, semoga dapat membantu ya","So, I hope this helps",F1,2,2,2,2,2
1996,133,Anda juga dapat membaca artikel lain mengenai acetylcystein pada link ini,You can also read other articles about acetylcysteine ​​at this link,F5,2,2,2,2,2
1997,134,"Alo, terima kasih atas pertanyaannya","Hi, thanks for the question",F1,0,5,2,0,0
1998,134,"Mual paling sering menandakan suatu gangguan pencernaan, semisal akibat gastroesophageal reflux disease, gastritis, penyakit Crohn, gastroenteritis, pankreatitis, alergi makanan, malabsorpsi karbohidrat, intoleransi laktosa, bahkan juga tumor jinak atau ganas tertentu di saluran pencernaan","Nausea most often indicates a digestive disorder, such as due to gastroesophageal reflux disease, gastritis, Crohn's disease, gastroenteritis, pancreatitis, food allergies, carbohydrate malabsorption, lactose intolerance, even certain benign or malignant tumors in the digestive tract",F3,0,5,2,0,0
1999,134,"Namun bukan itu saja, mual bisa pula muncul karena pencetus lain, seperti: Gangguan pernafasan, contohnya akibat infeksi, alergi, kemasukan benda asing, sinusitis","But that's not all, nausea can also appear due to other triggers, such as: Respiratory problems, for example due to infection, allergies, entry of foreign bodies, sinusitis",F3,0,5,1,0,1
2000,134,"Gangguan hormon, contohnya saat hamil muda, akan menstruasi, pengaruh KB hormonal","Hormonal disorders, for example when you are pregnant, will menstruate, the influence of hormonal family planning",F3,0,5,2,0,1
2001,134,"Faktor lain, seperti gangguan jantung, gangguan cemas berlebih, gangguan psikosomatis, gangguan hati, tumor otak, vertigo, migrain, mata lelah, cidera kepala, efek samping obat, batu atau radang empedu, gangguan ginjal, dan sebagainya","Other factors, such as heart problems, excessive anxiety disorders, psychosomatic disorders, liver disorders, brain tumors, vertigo, migraines, tired eyes, head injuries, drug side effects, gallstones or inflammation of the gallbladder, kidney disorders, and so on",F3,0,5,2,0,1
2002,134,"Kondisi Anda yang merasakan mual memberat saat terpapar asap rokok dan kontak dengan air, mungkin menandakan keluhan Anda muncul karena gangguan pernafasan, alergi asap atau dingin, namun mungkin juga menandakan kondisi medis lain seperti yang telah kami jabarkan di atas","Your condition that feels severe nausea when exposed to cigarette smoke and contact with water, may indicate your complaint arises due to respiratory problems, smoke or cold allergies, but it may also indicate other medical conditions as we have described above",F4,1,1,4,1,1
2003,134,"Agar jelas apa penyebabnya, idealnya Anda periksa langsung ke dokter","To be clear what the cause, ideally you check directly with a doctor",F5,2,1,4,2,2
2004,134,"Hanya saja, mengingat saat ini pandemi COVID - 19 masih cukup mengkhawatirkan, baiknya pemeriksaan ini Anda tunda dahulu hanya jika muncul gejala yang berat","It's just that, considering the current COVID - 19 pandemic is still quite worrying, it's best if you postpone this examination first only if severe symptoms appear",F5,3,2,4,3,2
2005,134,"Sebab itu, keluhan Anda bisa coba diredakan dahulu dengan mengompres hangat perut yang mual, mandi dengan air hangat, hindari menyikat gigi terlalu dalam saat mandi, disiplin gunakan masker terutama jika keluar rumah, jauhi rokok beserta asapnya, jauhi polusi dan hal - hal yang mungkin membuat Anda alergi, makan porsi kecil namun lebih sering, jangan dahulu berlebihan makan makanan pencetus mual (seperti santan, sambal, kopi, teh, cokelat, dairy product), perbanyak relaksasi dan olahraga, tidur yang cukup, serta jangan sembarangan minum obat tanpa saran dari dokter","Therefore, you can try to relieve your complaint first by applying warm compresses to your nauseous stomach, taking a warm bath, avoiding brushing your teeth too deeply while bathing, being disciplined in using a mask, especially when you leave the house, staying away from cigarettes and their smoke, staying away from pollution and other things that might make you allergic, eat smaller portions but more often, don't overeat foods that trigger nausea (such as coconut milk, chili sauce, coffee, tea, chocolate, dairy products), increase relaxation and exercise, get enough sleep, and don't take medication without advice from the doctor",F5,3,2,4,3,2
2006,134,"Sebaliknya, jika muncul muntah - muntah masif, sesak, demam tinggi, atau keluhan berat lainnya, baiknya Anda periksa langsung saja ke dokter terdekat ya","On the other hand, if you have massive vomiting, shortness of breath, high fever, or other severe complaints, you should immediately go to the nearest doctor",F5,4,3,3,4,2
2007,134,"Selain diberi obat, jika diduga kondisi Anda berat, nantinya dokter mungkin akan mengarahkan Anda untuk menjalani pemeriksaan darah, USG, rontgen, bahkan merujuk Anda ke dokter penyakit dalam","In addition to being given medication, if it is suspected that your condition is severe, the doctor may later direct you to undergo blood tests, ultrasound, x - rays, and even refer you to an internal medicine doctor",F5,4,3,3,4,3
2008,134,Semoga membantu ya,Hope it helps,F1,4,3,3,4,3
2009,135,"Selamat sore, terima kasih telah bertanya di Alodokter","Good afternoon, thank you for asking at Alodokter",F1,0,1,1,0,0
2010,135,"Keluhan vagina yang terasa sempit, nyeri dan gatal yang Anda rasakan, bisa berarti berbagai hal","Complaints of vaginal tightness, pain and itching that you feel, can mean various things",F4,1,6,6,1,1
2011,135,Salah satunya bila berkaitan dengan berhubungan seksual adalah kurangnya pemanasan atau foreplay,One of them when it comes to having sex is the lack of foreplay,F4,1,6,6,1,1
2012,135,"Mungkin saja, karena sudah dua bulan tidak berhubungan, Anda dan suami ingin segera melakukan penetrasi, padahal vagina Anda belum siap lantaran masih belum mengeluarkan cairan pelumas yang cukup","Maybe, because it's been two months without intercourse, you and your husband want to penetrate immediately, even though your vagina is not ready because it still doesn't release enough lubricating fluid",F4,1,6,6,1,1
2013,135,"Hasilnya, penis jadi terasa sulit dimasukkan, dan gesekannya pun menimbulkan nyeri","As a result, the penis becomes difficult to insert, and the friction causes pain",F4,1,6,6,1,1
2014,135,Kemungkinan lain bisa juga karena pengaruh hormon,Another possibility could also be due to the influence of hormones,F3,1,6,6,1,1
2015,135,"Ketidakseimbangan hormon karena berbagai penyebab bisa membuat produksi cairan pelumas berkurang, dan mengakibatkan hal yang sama dengan yang kami sebutkan sebelumnya","Hormonal imbalance due to various causes can make the production of lubricating fluid decrease, and result in the same thing as we mentioned earlier",F3,1,6,6,1,1
2016,135,"Selain itu, penyakit tertentu juga bisa mengakibatkan keluhan tersebut, seperti atrofi vagina, infeksi bakteri atau jamur, iritasi, dan masih banyak lagi","In addition, certain diseases can also cause these complaints, such as vaginal atrophy, bacterial or fungal infections, irritation, and much more",F3,2,3,3,2,2
2017,135,"Saran kami, jika keluhannya sudah mereda sekarang, jika lain kali berhubungan seksual lagi, kali ini perlama di bagian pemasannnya","Our advice, if the complaints have subsided now, the next time you have sex again, this time spend a long time in the installation section",F5,2,3,3,2,2
2018,135,Pastikan vagina Anda sudah cukup basah sebelum melakukan penetrasi,Make sure your vagina is wet enough before penetrating,F5,2,3,3,2,2
2019,135,"Bila perlu, gunakan pelumas tambahan yang dijual bebas di apotek","If necessary, use additional lubricants that are sold freely in pharmacies",F5,3,1,1,3,3
2020,135,"Namun jika keluhannya masih menetap, atau sekarang masih ada rasa gatal dan nyerinya meski sudah berhenti dari berhubungan seksual, maka pemeriksaan lebih lanjut amat diperlukan untuk menentukan penanganan terbaiknya","However, if the complaint still persists, or now there is still itching and pain even though you have stopped having sex, then further examination is needed to determine the best treatment",F5,4,1,1,4,4
2021,135,"Karena itu, konsultasikan masalah Anda pada dokter kandungan untuk dilakukan penggalian riwayat, pemeriksaan fisik serta penunjang, agar bisa ditentukan kecenderungannya","Therefore, consult your obstetrician about your problem to take a history, physical examination and support, so that the trend can be determined",F5,5,3,3,5,5
2022,135,"Sementara itu, tidak perlu cemas, jaga kebersihan alat kelamin, hindari penggunaan celana dan celana dalam ketat, serta jalani pola hidup sehat","Meanwhile, don't worry, keep your genitals clean, avoid wearing tight pants and underwear, and live a healthy lifestyle",F5,5,3,3,5,5
2023,135,"Sekian, semoga menjawab pertanyaan Anda","That's all, hope it answers your question",F1,5,3,3,5,5
2024,136,Halo Maran,Hello Maran,F1,0,1,1,0,0
2025,136,Pupil merupakan salah satu bagian bola mata,The pupil is a part of the eyeball,F3,1,2,2,1,1
2026,136,Kondisi tidak bulat sempurnanya pupil atau bagian hitam bola mata dalam istilah medis disebut colobomas,Conditions that are not perfectly round the pupil or the black part of the eyeball in medical terms are called colobomas,F4,1,2,2,1,1
2027,136,Hal ini bersifat kongenital / bawaan sejak lahir yang mana disebabkan oleh tidak sempurnanya perkembangan mata saat dalam masa kehamilan,This is congenital / congenital from birth which is caused by imperfect eye development during pregnancy,F3,2,1,1,2,2
2028,136,Namun untuk memastikan penyebab pasti dari keluhan anak Anda maka sebaiknya dilakukan pemeriksaan langsung oleh dokter,"However, to determine the exact cause of your child's complaints, it is best to have an immediate examination by a doctor",F5,3,3,3,3,3
2029,136,Dokter akan melakukan serangkaian pemeriksaan untuk memastikan keluhan tersebut,The doctor will carry out a series of examinations to confirm the complaint,F3,3,3,3,3,3
2030,136,"Beberapa penyebab lain dari keluhan tersebut diantaranya: Horner sindrom, penyakit akibat kerusakan pada sistem saraf","Some other causes of these complaints include: Horner's syndrome, a disease caused by damage to the nervous system",F3,3,3,3,3,3
2031,136,Peradangan pada mata,Inflammation of the eye,F3,4,4,4,4,4
2032,136,Abses atau tumor pada bagian otak dan lain sebagainya,Abscess or tumor in the brain and so on,F3,4,4,4,4,4
2033,136,Apabila anak mengalami keluhan terutama pada penglihatan maka kami sangat menyarankan kepada Anda untuk membawa anak Anda ke dokter mata terdekat untuk mendapatkan penanganan yang tepat,"If your child has complaints, especially vision, then we highly recommend that you take your child to the nearest ophthalmologist for proper treatment",F5,4,4,4,4,4
2034,136,Semoga bermanfaat,May be useful,F1,4,4,4,4,4
2035,137,"Halo, Terima kasih atas pertanyaanya di Alodokter","Hello, Thank you for the question on Alodokter",F1,0,1,1,0,0
2036,137,"Dalam dunia medis, yang Anda alami disebut dengan amenore (tidak haid)","In the medical world, what you experience is called amenorrhea (no menstruation)",F4,1,3,6,1,1
2037,137,"Secara normal, wanita tidak mengalami haid sebelum pubertas, selama kehamilan, dan setelah menopause","Normally, women do not have their periods before puberty, during pregnancy, and after menopause",F3,1,3,6,1,1
2038,137,"Apabila tidak haid didahului dengan riwayat haid yang normal, kemungkinan ini merupakan gejala dari kondisi yang dapat diobati","If the absence of menstruation is preceded by a history of normal menstruation, this may be a symptom of a treatable condition",F3,1,3,6,1,1
2039,137,"Terdapat dua macam amenore, yaitu amenore primer dan sekunder","There are two types of amenorrhea, namely primary and secondary amenorrhea",F3,2,2,6,2,2
2040,137,Disebut amenore primer apabila seorang gadis belum mengalami haid sama sekali pada usia 16 tahun,It is called primary amenorrhea if a girl has not had her period at all at the age of 16 years,F3,2,2,6,2,2
2041,137,Sedangkan amenore sekunder adalah apalabila seorang wanita yang sebelumnya memiliki siklus haid normal berhenti mendapatkan haid selama 3 bulan atau lebih,While secondary amenorrhea is when a woman who previously had a normal menstrual cycle stops getting her period for 3 months or more,F3,3,10,6,3,2
2042,137,"Pada kasus Anda, yang dialami adalah amenore sekunder","In your case, you have secondary amenorrhea",F4,3,10,9,3,2
2043,137,Penyebab amenore sekunder dapat digolongkan menjadi: 1 Faktor gaya hidup,Causes of secondary amenorrhea can be classified into: 1 Lifestyle factors,F3,3,10,9,3,2
2044,137,Â Berat badan yang terlalu kurus atau terlalu gemuk akan mengganggu keseimbangan hormon reproduksi,Â Weight that is too thin or too fat will disrupt the balance of reproductive hormones,F3,3,10,9,3,2
2045,137,"Â Olahraga yang berlebihan, seperti pada balerina dan atlet juga dapat mengganggu keseimbangan hormon reproduksi","Excessive exercise, such as in ballerinas and athletes can also disrupt the balance of reproductive hormones",F3,3,10,9,3,3
2046,137,ÂStres psikologis dapat mempengaruhi kerja otak yang mengatur hormon reproduksi,ÂPsychological stress can affect the work of the brain that regulates reproductive hormones,F3,3,10,9,3,3
2047,137,"Umumnya, ketika stres sudah menurun, haid akan kembali normal","Generally, when stress has decreased, menstruation will return to normal",F3,3,10,9,3,3
2048,137,2 Kondisi medis yang menyebabkan ketidakseimbangan hormon,2 Medical conditions that cause hormonal imbalance,F3,3,10,9,3,3
2049,137,"Â Sindrom ovarium polikistik (PCOS) menyebabkan kadar hormon reproduksi selalu tinggi kadarnya, ini juga akan mengganggu siklus haid","Â Polycystic ovary syndrome (PCOS) causes reproductive hormone levels to always be high, this will also disrupt the menstrual cycle",F3,3,10,9,3,3
2050,137,"Â·Gangguan tiroid, seperti kelenjar tiroid yang terlalu aktif (hipertiroid) atau yang kurang aktif (hipotiroid) dapat menyebabkan gangguan haid, termasuk amenore","Thyroid disorders, such as an overactive (hyperthyroid) or underactive (hypothyroid) thyroid gland can cause menstrual disorders, including amenorrhea",F3,3,10,9,3,3
2051,137,Â Tumor jinak kelenjar pituitari di otak dapat mengganggu pengaturan hormon reproduksi,Benign tumors of the pituitary gland in the brain can interfere with the regulation of reproductive hormones,F3,4,1,1,4,4
2052,137,Â Menopause dini,Â Early menopause,F3,5,3,3,5,5
2053,137,Menopause umumnya terjadi pada usia 50 - an,Menopause generally occurs in the 50s,F3,5,3,3,5,5
2054,137,"Namun, pada sebagian wanita terjadi sebelum usia 40 - an","However, in some women it occurs before the age of 40",F3,5,3,3,5,5
2055,137,Â Tumor pada ovarium (indung telur),Tumors in the ovaries (ovaries),F3,6,3,3,6,6
2056,137,3 Gangguan struktural pada organ kandungan,3 Structural disorders of the uterine organs,F3,6,3,3,6,6
2057,137,"Â Skar / bekas luka pada rahim akibat penyakit Asherman, bekas kuret, operasi caesar atau pengangkatan myoma","Scars / scars on the uterus due to Asherman's disease, curettage, caesarean section or myoma removal",F3,6,3,3,6,6
2058,137,Â Vagina abnormal di mana terdapat sumbatan pada vagina sehingga darah haid tidak bisa keluar,Abnormal vagina where there is a blockage in the vagina so that menstrual blood cannot come out,F3,7,1,1,7,7
2059,137,"Dibutuhkan pemeriksaan fisik langsung dan pemeriksaan penunjang seperti pemeriksaan USG, oleh karena itu saya sarankan Anda untuk memeriksakan diri Anda langsung ke dokter kandungan","A direct physical examination and supporting examinations such as an ultrasound examination are needed, therefore I suggest you to check yourself directly with a gynecologist",F3,8,2,1,8,8
2060,137,"Demikian informasi dari saya, semoga bermanfaat","That's the information from me, hopefully it's useful",F1,8,2,1,8,8
2061,137,"Salam, Dr Yuniar","Regards, Dr Yuniar",F1,9,1,1,9,9
2062,138,Hai Indah,Hi Beautiful,F1,0,3,3,0,0
2063,138,"Batuk merupakan respon alami tubuh untuk membersihkan saluran napas dari benda asing seperti debu, asap, kotoran, kuman dan sebagainya","Coughing is the body's natural response to clear the respiratory tract of foreign objects such as dust, smoke, dirt, germs and so on",F3,0,3,3,0,0
2064,138,Saat terjadi peradangan atau infeksi pada saluran napas maka produksi lendir pada saluran pernafasan dapat meningkat sehingga dapat timbul batuk berdahak,"When there is inflammation or infection in the respiratory tract, the production of mucus in the respiratory tract can increase so that a cough with phlegm can occur",F3,0,3,3,0,0
2065,138,Lendir atau dahak yang berwarna hijau seperti yang Anda alami dapat mengindikasikan adanya infeksi bakteri,Green mucus or phlegm like yours can indicate a bacterial infection,F4,1,1,1,1,1
2066,138,Bila Anda mengalami batuk berdarah maka kondisi ini perlu diwaspadai dan ditangani secara tepat,"If you are coughing up blood, then this condition needs to be watched out for and treated appropriately",F4,2,8,8,2,2
2067,138,Berikut ini berbagai kemungkinan penyebab batuk berdarah: Perlukaan pada tenggorokan,The following are various possible causes of coughing up blood: Injury to the throat,F3,2,8,8,2,2
2068,138,Bronkhitis,Bronchitis,F3,2,8,8,2,2
2069,138,Tuberkulosis / TBC Pneumonia (radang paru - paru),Tuberculosis / TB Pneumonia (inflammation of the lungs - lung),F3,2,8,8,2,2
2070,138,Emboli paru (penyumbatan pembuluh darah paru),Pulmonary embolism (blockage of pulmonary arteries),F3,2,8,8,2,2
2071,138,Edema paru (penumpukan cairan pada paru - paru),Pulmonary edema (fluid buildup in the lungs),F3,2,8,8,2,2
2072,138,Kanker tenggorokan,Throat cancer,F3,2,8,8,2,2
2073,138,Kanker paru - paru dan sebagainya,Lung cancer and so on,F3,2,8,8,2,2
2074,138,"Untuk dapat memastikan penyebab keluhan yang Anda alami ini tentunya diperlukan pemeriksaan lebih lanjut oleh dokter, baik melalui pemeriksaan fisik maupun tes penunjang seperti X - Ray, tes dahak, tes darah, CT Scan dan sebagainya","To be able to determine the cause of the complaints you are experiencing, of course, further examination is needed by a doctor, either through a physical examination or supporting tests such as X - Rays, sputum tests, blood tests, CT scans and so on",F5,3,1,1,3,3
2075,138,Sebaiknya Anda berkonsultasi dengan dokter spesialis paru agar penyebabnya dapat ditelusuri lebih lanjut sehingga penanganan yang tepat dapat diberikan bagi Anda sesuai dengan kondisi dasarnya,You should consult a pulmonary specialist so that the cause can be traced further so that the right treatment can be given to you according to your basic condition,F5,4,3,3,4,4
2076,138,Sementara ini berikut anjuran yang dapat Anda lakukan: Beristirahat cukup dan mengonsumsi makanan yang bergizi seimbang agar daya tahan tubuh terjaga,"In the meantime, here are some suggestions for what you can do: Get enough rest and eat a balanced nutritious diet so that your immune system is maintained",F5,4,3,3,4,4
2077,138,"Hindari konsumsi makanan yang digoreng, pedas, berlemak, atau terlalu panas / dingin","Avoid consuming fried, spicy, fatty, or too hot / cold foods",F5,4,3,3,4,4
2078,138,Minum cukup air putih 2 liter sehari,Drink enough water 2 liters a day,F5,5,1,1,5,5
2079,138,Menutup mulut dan hidung saat bersin atau batuk,Cover mouth and nose when sneezing or coughing,F5,6,2,2,6,6
2080,138,"Menjaga sirkulasi udara di rumah berjalan dengan baik, buka pintu dan jendela rumah agar udara segar dan sinar matahari dapat masuk","Keeping the air circulation in the house running well, open the doors and windows of the house so that fresh air and sunlight can enter",F5,6,2,2,6,6
2081,138,Kenakan masker saat berpergian ke luar rumah,Wear a mask when going out of the house,F5,7,1,1,7,7
2082,138,Informasi berikut ini dapat berguna: Kondisi serius di balik batuk berdarah,The following information may be useful: Serious conditions behind coughing up blood,F5,8,3,3,8,8
2083,138,Demikian semoga bermanfaat,So hopefully useful,F1,8,3,3,8,8
2084,138,dr Muliani Sukiman,dr Muliani Sukiman,F1,8,3,3,8,8
2085,139,"Halo, terima kasih sudah bertanya ke Alodokter","Hello, thank you for asking Alodokter",F1,0,1,1,0,0
2086,139,Perdarahan selama 2 hari yang menggumpal yang Anda alami kemungkinan merupakan suatu hal yang normal yang terjadi pada masa menjelang menstruasi atau pra - menstrual syndrome (PMS),The 2 - day clotting bleeding that you experience may be a normal thing that occurs during the premenstrual period or pre - menstrual syndrome (PMS),F4,1,1,1,1,1
2087,139,PMS juga dapat mengakibatkan payudara terasa nyeri dan padat serta berjerawat dan kelelahan,PMS can also cause breasts to feel sore and tight as well as breakouts and fatigue,F3,2,1,1,2,2
2088,139,Perdarahan yang Anda alami juga biasanya menjadi pertanda bahwa sedang terjadi ovulasi atau masa subur dan bukan merupakan hal yang berbahaya,The bleeding that you experience is also usually a sign that ovulation is occurring or the fertile period and is not a dangerous thing,F3,3,1,1,3,3
2089,139,"Namun, beberapa keadaan juga dapat menyebabkan keluarnya perdarahan antara lain: Stres","However, some conditions can also cause bleeding, including: Stress",F3,4,3,3,4,4
2090,139,Kehamilan,Pregnancy,F3,4,3,3,4,4
2091,139,Kelelahan PCOS (Polycystic Ovary Syndrome),PCOS Fatigue (Polycystic Ovary Syndrome),F3,4,3,3,4,4
2092,139,Penyakit radang panggul,Pelvic inflammatory disease,F3,5,2,2,5,5
2093,139,Perdarahan dari organ intim,Bleeding from intimate organs,F3,5,2,2,5,5
2094,139,Kelainan pembekuan darah,Blood clotting disorders,F3,6,8,8,6,6
2095,139,Kanker serviks,Cervical cancer,F3,6,8,8,6,6
2096,139,"Gejala - gejala kehamilan dapat berbeda - beda pada setiap wanita, beberapa gejala yang mungkin dialami adalah: Bercak darah atau flek","Symptoms of pregnancy can be different for each woman, some of the symptoms that may be experienced are: Blood spots or spots",F3,6,8,8,6,6
2097,139,Kelelahan,Fatigue,F3,6,8,8,6,6
